"Year","DEC Region","County","Town","Waterbody","Date","Number","Species Name","Size (inches )"
"2026","1","Suffolk","Babylon","Argyle Lake","March","170","Brown Trout","12 -15 inches"
"2026","1","Suffolk","Babylon","Argyle Lake","March","520","Rainbow Trout","8 inches"
"2026","1","Suffolk","Babylon","Belmont Lake","April","290","Brown Trout","12 -15 inches"
"2026","1","Suffolk","Babylon","Belmont Lake","April","180","Brown Trout","8 inches"
"2026","1","Suffolk","Babylon","Belmont Lake","April","1,040","Rainbow Trout","8 inches"
"2026","1","Suffolk","Babylon","Belmont Lake","March","120","Brown Trout","12 -15 inches"
"2026","1","Suffolk","Babylon","Belmont Lake","March","180","Brown Trout","8 inches"
"2026","1","Suffolk","Babylon","Belmont Lake","March","780","Rainbow Trout","8 inches"
"2026","1","Suffolk","Babylon","Carlls River","March - third week","100","Brown Trout","12 -15 inches"
"2026","1","Suffolk","Babylon","Carlls River","March - third week","520","Brown Trout","9 - 10 inches"
"2026","1","Suffolk","Babylon","Carlls River","March - third week","350","Rainbow Trout","9 - 10 inches"
"2026","1","Suffolk","Babylon","Southards Pond","March","170","Brown Trout","12 -15 inches"
"2026","1","Suffolk","Babylon","Southards Pond","March","420","Rainbow Trout","8 inches"
"2026","1","Suffolk","Brookhaven","Canaan Lake","April","940","Rainbow Trout","8 inches"
"2026","1","Suffolk","Brookhaven","Carmans River","April","120","Brown Trout","12 -15 inches"
"2026","1","Suffolk","Brookhaven","Carmans River","April","420","Rainbow Trout","9 - 10 inches"
"2026","1","Suffolk","Brookhaven","Carmans River","April - first week","40","Brown Trout","12 -15 inches"
"2026","1","Suffolk","Brookhaven","Carmans River","April - first week","360","Rainbow Trout","9 - 10 inches"
"2026","1","Suffolk","Brookhaven","Carmans River","April - third week","40","Brown Trout","12 -15 inches"
"2026","1","Suffolk","Brookhaven","Carmans River","April - third week","370","Brown Trout","9 - 10 inches"
"2026","1","Suffolk","Brookhaven","Carmans River","March","170","Brown Trout","12 -15 inches"
"2026","1","Suffolk","Brookhaven","Carmans River","March - third week","40","Brown Trout","12 -15 inches"
"2026","1","Suffolk","Brookhaven","Carmans River","March - third week","370","Brown Trout","9 - 10 inches"
"2026","1","Suffolk","Brookhaven","Carmans River","May - first week","40","Brown Trout","12 -15 inches"
"2026","1","Suffolk","Brookhaven","Carmans River","May - first week","360","Rainbow Trout","9 - 10 inches"
"2026","1","Suffolk","Brookhaven","East Lake","April","270","Brown Trout","8 inches"
"2026","1","Suffolk","Brookhaven","East Lake","April","520","Rainbow Trout","8 inches"
"2026","1","Suffolk","Brookhaven","Hards Lake","April","230","Brown Trout","12 -15 inches"
"2026","1","Suffolk","Brookhaven","Hards Lake","April","620","Rainbow Trout","8 inches"
"2026","1","Suffolk","Brookhaven","Hards Lake","March","400","Brown Trout","12 -15 inches"
"2026","1","Suffolk","Brookhaven","Hards Lake","March","730","Rainbow Trout","8 inches"
"2026","1","Suffolk","Brookhaven","Hards Lake","May","120","Brown Trout","12 -15 inches"
"2026","1","Suffolk","Brookhaven","Hards Lake","May","630","Brown Trout","8 inches"
"2026","1","Suffolk","Brookhaven","Kahler Pond","March","520","Rainbow Trout","8 inches"
"2026","1","Suffolk","Brookhaven","Upper Lake","April","170","Brown Trout","12 -15 inches"
"2026","1","Suffolk","Brookhaven","Upper Lake","April","420","Rainbow Trout","8 inches"
"2026","1","Suffolk","Brookhaven","Upper Lake","March","290","Brown Trout","12 -15 inches"
"2026","1","Suffolk","Brookhaven","Upper Lake","March","420","Rainbow Trout","8 inches"
"2026","1","Suffolk","Brookhaven","Upper Lake","May","60","Brown Trout","12 -15 inches"
"2026","1","Suffolk","Brookhaven","Upper Lake","May","270","Brown Trout","8 inches"
"2026","1","Suffolk","Brookhaven","West Lake","April","230","Brown Trout","12 -15 inches"
"2026","1","Suffolk","Brookhaven","West Lake","April","620","Rainbow Trout","8 inches"
"2026","1","Suffolk","Brookhaven","West Lake","March","340","Brown Trout","12 -15 inches"
"2026","1","Nassau","Hempstead","Upper Twin Pond","April","120","Brown Trout","12 -15 inches"
"2026","1","Nassau","Hempstead","Upper Twin Pond","April","620","Rainbow Trout","8 inches"
"2026","1","Nassau","Hempstead","Upper Twin Pond","March","460","Brown Trout","12 -15 inches"
"2026","1","Nassau","Hempstead","Upper Twin Pond","March","160","Rainbow Trout","8 inches"
"2026","1","Suffolk","Huntington","Twin Pond","March","230","Brown Trout","12 -15 inches"
"2026","1","Suffolk","Huntington","Twin Pond","March","160","Rainbow Trout","8 inches"
"2026","1","Suffolk","Islip","Connetquot River","May","210","Brown Trout","9 - 10 inches"
"2026","1","Suffolk","Islip","Connetquot River","May","210","Rainbow Trout","9 - 10 inches"
"2026","1","Suffolk","Islip","Rattlesnake Creek","May","210","Rainbow Trout","9 - 10 inches"
"2026","1","Nassau","Oyster Bay","Massapequa Reservoir","April","340","Brown Trout","12 -15 inches"
"2026","1","Nassau","Oyster Bay","Massapequa Reservoir","April","450","Brown Trout","8 inches"
"2026","1","Nassau","Oyster Bay","Massapequa Reservoir","April","940","Rainbow Trout","8 inches"
"2026","1","Nassau","Oyster Bay","Massapequa Reservoir","March","340","Brown Trout","12 -15 inches"
"2026","1","Nassau","Oyster Bay","Massapequa Reservoir","March","520","Rainbow Trout","8 inches"
"2026","1","Nassau","Oyster Bay","Oyster Bay Mill Pond","March","120","Brown Trout","12 -15 inches"
"2026","1","Nassau","Oyster Bay","Oyster Bay Mill Pond","March","520","Rainbow Trout","8 inches"
"2026","1","Suffolk","Smithtown","Nissequogue River","April","230","Brown Trout","12 -15 inches"
"2026","1","Suffolk","Smithtown","Nissequogue River","April","210","Brown Trout","9 - 10 inches"
"2026","1","Suffolk","Smithtown","Nissequogue River","April","310","Rainbow Trout","9 - 10 inches"
"2026","1","Suffolk","Smithtown","Nissequogue River","March","230","Brown Trout","12 -15 inches"
"2026","1","Suffolk","Southold","Laurel Lake","April","270","Brown Trout","8 inches"
"2026","1","Suffolk","Southold","Laurel Lake","April","310","Rainbow Trout","8 inches"
"2026","3","Dutchess","Amenia","Ten Mile River","March - third week","210","Brown Trout","12 -15 inches"
"2026","3","Dutchess","Amenia","Ten Mile River","March - third week","1,780","Brown Trout","9 - 10 inches"
"2026","3","Dutchess","Amenia","Webatuck Creek","March - third week","40","Brown Trout","12 -15 inches"
"2026","3","Dutchess","Amenia","Webatuck Creek","March - third week","350","Brown Trout","9 - 10 inches"
"2026","3","Dutchess","Beacon, Fishkill","Fishkill Creek","March - third week","40","Brown Trout","12 -15 inches"
"2026","3","Dutchess","Beacon, Fishkill","Fishkill Creek","March - third week","360","Brown Trout","9 - 10 inches"
"2026","3","Westchester","Bedford","Cross River Reservoir","March - third week","6,760","Brown Trout","8 inches"
"2026","3","Westchester","Bedford","Cross River Reservoir Outlet","March - third week","50","Rainbow Trout","12 -14 inches"
"2026","3","Westchester","Bedford","Cross River Reservoir Outlet","March - third week","560","Rainbow Trout","9 - 10 inches"
"2026","3","Westchester","Bedford","Stone Hill River","March - third week","60","Brown Trout","12 -15 inches"
"2026","3","Westchester","Bedford","Stone Hill River","March - third week","550","Brown Trout","9 - 10 inches"
"2026","3","Dutchess","Beekman","Fishkill Creek","March - third week","340","Brown Trout","12 -15 inches"
"2026","3","Dutchess","Beekman","Fishkill Creek","March - third week","2,810","Brown Trout","9 - 10 inches"
"2026","3","Dutchess","Beekman","Sylvan Lake","April","1,800","Brown Trout","8 inches"
"2026","3","Sullivan","Bethel","Mongaup River","April - first week","70","Brown Trout","12 -15 inches"
"2026","3","Sullivan","Bethel","Mongaup River","April - first week","620","Brown Trout","9 - 10 inches"
"2026","3","Sullivan","Callicoon","Callicoon Creek North Branch","April - fourth week","50","Brown Trout","12 -15 inches"
"2026","3","Sullivan","Callicoon","Callicoon Creek North Branch","April - fourth week","380","Brown Trout","9 - 10 inches"
"2026","3","Sullivan","Callicoon","Callicoon Creek North Branch","April - second week","50","Brown Trout","12 -15 inches"
"2026","3","Sullivan","Callicoon","Callicoon Creek North Branch","April - second week","380","Brown Trout","9 - 10 inches"
"2026","3","Sullivan","Callicoon","Callicoon Creek North Branch","May - fourth week","50","Brown Trout","12 -15 inches"
"2026","3","Sullivan","Callicoon","Callicoon Creek North Branch","May - fourth week","380","Brown Trout","9 - 10 inches"
"2026","3","Sullivan","Callicoon","Callicoon Creek North Branch","May - second week","50","Brown Trout","12 -15 inches"
"2026","3","Sullivan","Callicoon","Callicoon Creek North Branch","May - second week","380","Brown Trout","9 - 10 inches"
"2026","3","Putnam","Carmel","Croton River West Branch","April - fourth week","30","Brown Trout","12 -15 inches"
"2026","3","Putnam","Carmel","Croton River West Branch","April - fourth week","230","Brown Trout","9 - 10 inches"
"2026","3","Putnam","Carmel","Croton River West Branch","April - second week","30","Brown Trout","12 -15 inches"
"2026","3","Putnam","Carmel","Croton River West Branch","April - second week","230","Brown Trout","9 - 10 inches"
"2026","3","Putnam","Carmel","Croton River West Branch","March - fourth week","30","Brown Trout","12 -15 inches"
"2026","3","Putnam","Carmel","Croton River West Branch","March - fourth week","230","Brown Trout","9 - 10 inches"
"2026","3","Putnam","Carmel","Croton River West Branch","May - second week","30","Brown Trout","12 -15 inches"
"2026","3","Putnam","Carmel","Croton River West Branch","May - second week","230","Brown Trout","9 - 10 inches"
"2026","3","Putnam","Carmel","Lake Gilead","April","2,700","Brown Trout","8 inches"
"2026","3","Putnam","Carmel","Lake Gleneida","April","4,500","Brown Trout","8 inches"
"2026","3","Putnam","Carmel","West Branch Reservoir","April","4,500","Brown Trout","8 inches"
"2026","3","Putnam","Carmel, Southeast","Croton Falls Reservoir","May","2,250","Brown Trout","8 inches"
"2026","3","Orange","Cornwall","Moodna Creek","March - fourth week","260","Rainbow Trout","12 -14 inches"
"2026","3","Orange","Cornwall","Moodna Creek","March - fourth week","2,330","Rainbow Trout","9 - 10 inches"
"2026","3","Westchester","Cortlandt","Croton River","March - third week","110","Rainbow Trout","12 -14 inches"
"2026","3","Westchester","Cortlandt","Croton River","March - third week","1,030","Rainbow Trout","9 - 10 inches"
"2026","3","Westchester","Cortlandt","Dogwood Pond","March - April","380","Brook Trout","8 inches"
"2026","3","Westchester","Cortlandt","Dogwood Pond","March - April","230","Brown Trout","8 inches"
"2026","3","Orange","Crawford","Shawangunk Kill","March - fourth week","40","Rainbow Trout","12 -14 inches"
"2026","3","Orange","Crawford","Shawangunk Kill","March - fourth week","320","Rainbow Trout","9 - 10 inches"
"2026","3","Orange","Deerpark","Neversink River","April - fourth week","160","Brown Trout","12 -15 inches"
"2026","3","Orange","Deerpark","Neversink River","April - fourth week","1,350","Brown Trout","9 - 10 inches"
"2026","3","Orange","Deerpark","Neversink River","April - second week","160","Brown Trout","12 -15 inches"
"2026","3","Orange","Deerpark","Neversink River","April - second week","1,350","Brown Trout","9 - 10 inches"
"2026","3","Orange","Deerpark","Neversink River","March - fourth week","160","Brown Trout","12 -15 inches"
"2026","3","Orange","Deerpark","Neversink River","March - fourth week","1,350","Brown Trout","9 - 10 inches"
"2026","3","Orange","Deerpark","Neversink River","May - second week","160","Brown Trout","12 -15 inches"
"2026","3","Orange","Deerpark","Neversink River","May - second week","1,350","Brown Trout","9 - 10 inches"
"2026","3","Sullivan","Delaware","Callicoon Creek","April - second week","50","Brown Trout","12 -15 inches"
"2026","3","Sullivan","Delaware","Callicoon Creek","April - second week","390","Brown Trout","9 - 10 inches"
"2026","3","Sullivan","Delaware","Callicoon Creek East Branch","April - second week","180","Brown Trout","12 -15 inches"
"2026","3","Sullivan","Delaware","Callicoon Creek East Branch","April - second week","1,110","Brown Trout","9 - 10 inches"
"2026","3","Ulster","Denning, Wawarsing","Rondout Reservoir","June","4,780","Brown Trout","8 inches"
"2026","3","Dutchess","Dover","Swamp River","March - third week","60","Brown Trout","12 -15 inches"
"2026","3","Dutchess","Dover","Swamp River","March - third week","540","Brown Trout","9 - 10 inches"
"2026","3","Dutchess","Dover","Ten Mile River","March - third week","80","Brown Trout","12 -15 inches"
"2026","3","Dutchess","Dover","Ten Mile River","March - third week","630","Brown Trout","9 - 10 inches"
"2026","3","Dutchess","East Fishkill","Sprout Creek","March - fourth week","270","Brown Trout","12 -15 inches"
"2026","3","Dutchess","East Fishkill","Sprout Creek","March - fourth week","2,270","Brown Trout","9 - 10 inches"
"2026","3","Ulster","Esopus","Black Creek","April - third week","50","Brown Trout","12 -15 inches"
"2026","3","Ulster","Esopus","Black Creek","April - third week","440","Brown Trout","9 - 10 inches"
"2026","3","Sullivan","Fallsburg","Loch Sheldrake","April","900","Brown Trout","8 inches"
"2026","3","Dutchess","Fishkill","Fishkill Creek","March - third week","280","Brown Trout","12 -15 inches"
"2026","3","Dutchess","Fishkill","Fishkill Creek","March - third week","2,360","Brown Trout","9 - 10 inches"
