"Year","County","Waterbody","Town","Month"," Number ","Species","Size (Inches)"
"2024","Jefferson","North Branch Sandy Creek","Adams","April","30","Brown Trout","14.2"
"2024","Jefferson","North Branch Sandy Creek","Adams","April","290","Brown Trout","9.5"
"2024","Jefferson","Sandy Creek","Adams","April","70","Brown Trout","14.2"
"2024","Jefferson","Sandy Creek","Adams","April","620","Brown Trout","9.5"
"2024","Jefferson","Sandy Creek","Adams","April","60","Brown Trout","14.2"
"2024","Jefferson","Sandy Creek","Adams","April","520","Brown Trout","9.5"
"2024","Albany","Six Mile Waterworks","Albany","March","2,100","Rainbow Trout","8.6"
"2024","Oswego","Beaverdam Brook","Albion","April","158,949","Steelhead","6.1"
"2024","Oswego","Beaverdam Brook","Albion","March","113,224","Coho","2.7"
"2024","Oswego","Reese's Pond","Albion","May","110","Brook Trout","10.1"
"2024","Cattaraugus","Birch Run Pond #1","Allegany","April","210","Rainbow Trout","9.6"
"2024","Cattaraugus","Five Mile Creek","Allegany","April","890","Brown Trout","9.3"
"2024","Cattaraugus","Five Mile Creek","Allegany","April","100","Brown Trout","13.6"
"2024","Cattaraugus","Allegheny River","Allegany/Portville","October","1,050","Muskellunge","8.5"
"2024","Allegany","Allen Lake","Allen","April","520","Brown Trout","13.5"
"2024","Allegany","Allen Lake","Allen","March","2,940","Rainbow Trout","9.3"
"2024","Allegany","Allen Lake","Allen","March","3,080","Brook Trout","9.4"
"2024","Allegany","Canacadea Creek","Almond","March","20","Brown Trout","13.6"
"2024","Allegany","Canacadea Creek","Almond","March","150","Rainbow Trout","9.4"
"2024","Allegany","Canacadea Creek","Almond","March","20","Brown Trout","13.6"
"2024","Allegany","Canacadea Creek","Almond","March","150","Rainbow Trout","9.4"
"2024","Franklin","Tupper Lake","Altamont","June","6,117","Landlocked Salmon","1.5"
"2024","Franklin","Tupper Lake","Altamont","June","1,971","Landlocked Salmon","7.4"
"2024","Franklin","Tupper Lake","Altamont","May","8,700","Lake Trout","6"
"2024","Franklin","Tupper Lake","Altamont","May","3,000","Landlocked Salmon","7.5"
"2024","Clinton","Ace Club Pond","Altona","April","150","Rainbow Trout","8.9"
"2024","Clinton","Altona School Pond","Altona","April","100","Rainbow Trout","8.9"
"2024","Clinton","Altona School Pond","Altona","April","100","Rainbow Trout","8.9"
"2024","Clinton","North Branch Great Chazy River","Altona, E'burg, Moores","April","60","Brown Trout","13"
"2024","Clinton","North Branch Great Chazy River","Altona, E'burg, Moores","April","540","Brown Trout","9.4"
"2024","Clinton","North Branch Great Chazy River","Altona, E'burg, Moores","April","60","Brown Trout","13.1"
"2024","Clinton","North Branch Great Chazy River","Altona, E'burg, Moores","April","540","Brown Trout","9.4"
"2024","Clinton","North Branch Great Chazy River","Altona, E'burg, Moores","May","60","Brown Trout","13.2"
"2024","Clinton","North Branch Great Chazy River","Altona, E'burg, Moores","May","540","Brown Trout","9.3"
"2024","Clinton","North Branch Great Chazy River","Altona, E'burg, Moores","May","60","Brown Trout","13.4"
"2024","Clinton","North Branch Great Chazy River","Altona, E'burg, Moores","May","540","Brown Trout","9.3"
"2024","Dutchess","Ten Mile River","Amenia","March","310","Brown Trout","8.2"
"2024","Dutchess","Ten Mile River","Amenia","March","160","Brown Trout","11.2"
"2024","Dutchess","Ten Mile River","Amenia","March","1,360","Brown Trout","8.2"
"2024","Dutchess","Ten Mile River","Amenia","March","40","Brown Trout","11.2"
