latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.94903,-72.30768,9.0,-14400,America/New_York,GMT-4

time,weather_code (wmo code),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),daylight_duration (s)
2011-01-14,3,0.00,0.00,0.0,34326.23
2011-01-15,3,0.00,0.00,0.0,34416.98
2011-01-16,3,0.00,0.00,0.0,34510.37
2011-01-17,3,0.00,0.00,0.0,34606.26
2011-01-18,75,28.30,23.10,20.0,34704.53
2011-01-19,51,0.10,0.10,1.0,34805.04
2011-01-20,3,0.00,0.00,0.0,34907.70
2011-01-21,75,8.50,5.10,7.0,35012.74
2011-01-22,3,0.00,0.00,0.0,35121.23
2011-01-23,3,0.00,0.00,0.0,35233.08
2011-01-24,3,0.00,0.00,0.0,35348.10
2011-01-25,71,0.40,0.00,4.0,35466.10
2011-01-26,75,12.00,5.40,13.0,35586.89
2011-01-27,75,21.20,0.60,9.0,35710.28
2011-01-28,3,0.00,0.00,0.0,35836.10
2011-01-29,71,0.00,0.00,0.0,35964.17
2011-01-30,3,0.00,0.00,0.0,36094.31
2011-01-31,3,0.00,0.00,0.0,36226.36
2011-02-01,73,8.50,5.70,18.0,36360.14
2011-02-02,73,27.70,26.20,22.0,36495.49
2011-02-03,3,0.00,0.00,0.0,36632.25
2011-02-04,3,0.00,0.00,0.0,36770.26
2011-02-05,55,6.70,6.70,12.0,36909.36
2011-02-06,3,0.00,0.00,0.0,37049.40
2011-02-07,3,0.00,0.00,0.0,37190.25
2011-02-08,53,3.20,3.20,11.0,37331.73
2011-02-09,3,0.00,0.00,0.0,37473.71
2011-02-10,71,0.00,0.00,0.0,37616.50
2011-02-11,2,0.00,0.00,0.0,37761.37
2011-02-12,71,0.10,0.00,1.0,37908.25
2011-02-13,3,0.00,0.00,0.0,38057.00
2011-02-14,3,0.00,0.00,0.0,38207.44
2011-02-15,1,0.00,0.00,0.0,38359.42
2011-02-16,3,0.00,0.00,0.0,38512.81
2011-02-17,3,0.00,0.00,0.0,38667.43
2011-02-18,3,0.00,0.00,0.0,38823.15
2011-02-19,3,0.00,0.00,0.0,38979.82
2011-02-20,3,0.00,0.00,0.0,39137.30
2011-02-21,73,3.30,0.00,10.0,39295.46
2011-02-22,71,0.00,0.00,0.0,39454.16
2011-02-23,0,0.00,0.00,0.0,39613.25
2011-02-24,3,0.00,0.00,0.0,39772.62
2011-02-25,71,33.90,33.70,21.0,39932.13
2011-02-26,3,0.00,0.00,0.0,40091.66
2011-02-27,71,2.10,1.60,9.0,40251.06
2011-02-28,55,6.60,6.60,13.0,40410.23
2011-03-01,3,0.00,0.00,0.0,40569.04
2011-03-02,1,0.00,0.00,0.0,40727.77
2011-03-03,1,0.00,0.00,0.0,40887.64
2011-03-04,3,0.00,0.00,0.0,41048.62
2011-03-05,3,0.00,0.00,0.0,41210.59
2011-03-06,63,8.90,8.90,9.0,41373.45
2011-03-07,63,15.50,15.50,9.0,41537.05
2011-03-08,3,0.00,0.00,0.0,41701.31
2011-03-09,3,0.00,0.00,0.0,41866.10
2011-03-10,51,2.00,2.00,9.0,42031.31
2011-03-11,63,20.90,20.90,10.0,42196.82
2011-03-12,3,0.00,0.00,0.0,42362.53
2011-03-13,2,0.00,0.00,0.0,42528.32
2011-03-14,3,0.00,0.00,0.0,42694.09
2011-03-15,3,0.00,0.00,0.0,42859.73
2011-03-16,63,16.10,16.10,10.0,43025.12
2011-03-17,3,0.00,0.00,0.0,43190.16
2011-03-18,3,0.00,0.00,0.0,43354.73
2011-03-19,3,0.00,0.00,0.0,43518.75
2011-03-20,3,0.00,0.00,0.0,43682.07
2011-03-21,71,8.30,8.00,12.0,43844.61
2011-03-22,3,0.00,0.00,0.0,44006.61
2011-03-23,73,5.60,2.00,19.0,44169.21
2011-03-24,73,2.50,0.20,7.0,44332.39
2011-03-25,3,0.00,0.00,0.0,44496.05
2011-03-26,3,0.00,0.00,0.0,44660.09
2011-03-27,3,0.00,0.00,0.0,44824.42
2011-03-28,2,0.00,0.00,0.0,44988.93
2011-03-29,3,0.00,0.00,0.0,45153.51
2011-03-30,3,0.00,0.00,0.0,45318.07
2011-03-31,71,7.80,7.70,10.0,45482.50
2011-04-01,61,9.00,9.00,12.0,45646.70
2011-04-02,3,0.00,0.00,0.0,45810.57
2011-04-03,3,0.00,0.00,0.0,45974.00
2011-04-04,51,0.20,0.20,1.0,46136.88
2011-04-05,63,7.20,7.20,7.0,46299.09
2011-04-06,61,3.90,3.90,5.0,46460.56
2011-04-07,53,3.40,3.40,9.0,46621.13
2011-04-08,3,0.00,0.00,0.0,46780.71
2011-04-09,3,0.00,0.00,0.0,46939.20
2011-04-10,3,0.00,0.00,0.0,47096.45
2011-04-11,51,0.10,0.10,1.0,47252.71
2011-04-12,61,3.40,3.40,7.0,47409.07
2011-04-13,63,31.80,31.80,18.0,47565.49
2011-04-14,3,0.00,0.00,0.0,47721.88
2011-04-15,3,0.00,0.00,0.0,47878.14
2011-04-16,61,6.20,6.20,7.0,48034.15
2011-04-17,63,16.30,16.30,6.0,48189.82
2011-04-18,53,0.70,0.70,1.0,48345.03
2011-04-19,51,0.30,0.30,3.0,48499.67
2011-04-20,3,0.00,0.00,0.0,48653.62
2011-04-21,3,0.00,0.00,0.0,48806.77
2011-04-22,3,0.00,0.00,0.0,48959.01
2011-04-23,63,14.80,14.80,13.0,49110.20
2011-04-24,61,7.90,7.90,8.0,49260.23
2011-04-25,61,5.40,5.40,5.0,49408.97
2011-04-26,51,0.10,0.10,1.0,49556.29
2011-04-27,51,0.70,0.70,5.0,49702.07
2011-04-28,61,6.90,6.90,20.0,49846.15
2011-04-29,3,0.00,0.00,0.0,49988.41
2011-04-30,3,0.00,0.00,0.0,50128.71
2011-05-01,3,0.00,0.00,0.0,50267.25
2011-05-02,3,0.00,0.00,0.0,50405.05
2011-05-03,3,0.00,0.00,0.0,50542.09
2011-05-04,61,6.20,6.20,11.0,50678.24
2011-05-05,3,0.00,0.00,0.0,50813.39
2011-05-06,3,0.00,0.00,0.0,50947.43
2011-05-07,3,0.00,0.00,0.0,51080.24
2011-05-08,2,0.00,0.00,0.0,51211.68
2011-05-09,2,0.00,0.00,0.0,51341.63
2011-05-10,3,0.00,0.00,0.0,51469.97
2011-05-11,3,0.00,0.00,0.0,51596.55
2011-05-12,3,0.00,0.00,0.0,51721.26
2011-05-13,3,0.00,0.00,0.0,51843.93
2011-05-14,3,0.00,0.00,0.0,51964.45
2011-05-15,61,9.20,9.20,12.0,52082.66
2011-05-16,55,7.40,7.40,18.0,52198.43
2011-05-17,63,30.50,30.50,22.0,52311.59
2011-05-18,63,29.90,29.90,24.0,52422.02
2011-05-19,61,10.60,10.60,15.0,52529.55
2011-05-20,3,0.00,0.00,0.0,52634.02
2011-05-21,3,0.00,0.00,0.0,52735.59
2011-05-22,3,0.00,0.00,0.0,52835.05
2011-05-23,53,5.20,5.20,14.0,52932.40
2011-05-24,63,7.90,7.90,4.0,53027.52
2011-05-25,3,0.00,0.00,0.0,53120.32
2011-05-26,3,0.00,0.00,0.0,53210.70
2011-05-27,3,0.00,0.00,0.0,53298.54
2011-05-28,3,0.00,0.00,0.0,53383.77
2011-05-29,51,0.30,0.30,2.0,53466.25
2011-05-30,53,0.90,0.90,5.0,53545.90
2011-05-31,3,0.00,0.00,0.0,53622.61
2011-06-01,63,6.80,6.80,3.0,53696.26
2011-06-02,0,0.00,0.00,0.0,53766.77
2011-06-03,0,0.00,0.00,0.0,53834.00
2011-06-04,3,0.00,0.00,0.0,53897.86
2011-06-05,51,0.10,0.10,1.0,53958.26
2011-06-06,3,0.00,0.00,0.0,54015.07
2011-06-07,3,0.00,0.00,0.0,54068.20
2011-06-08,3,0.00,0.00,0.0,54117.53
2011-06-09,51,0.20,0.20,1.0,54162.98
2011-06-10,3,0.00,0.00,0.0,54204.55
2011-06-11,63,12.00,12.00,15.0,54242.60
2011-06-12,63,13.40,13.40,11.0,54277.13
2011-06-13,61,6.90,6.90,8.0,54308.12
2011-06-14,55,3.60,3.60,10.0,54335.58
2011-06-15,3,0.00,0.00,0.0,54359.46
2011-06-16,3,0.00,0.00,0.0,54379.75
2011-06-17,63,16.20,16.20,15.0,54396.46
2011-06-18,3,0.00,0.00,0.0,54409.55
2011-06-19,3,0.00,0.00,0.0,54419.04
2011-06-20,3,0.00,0.00,0.0,54424.89
2011-06-21,3,0.00,0.00,0.0,54427.13
2011-06-22,53,1.90,1.90,6.0,54425.73
2011-06-23,63,14.10,14.10,6.0,54420.70
